"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 03, 1984","35.81","35.81","36.00","35.44","148.20K","0.53%"
"May 27, 1984","35.62","35.62","36.19","35.25","245.80K","-1.06%"
"May 20, 1984","36.00","36.00","36.38","35.44","217.07K","-0.53%"
"May 13, 1984","36.19","36.19","36.38","35.62","857.00K","-0.52%"
"May 06, 1984","36.38","36.38","37.31","36.19","440.07K","0.00%"
"Apr 29, 1984","36.38","36.38","36.56","36.19","804.93K","0.00%"
"Apr 22, 1984","36.38","36.38","36.56","32.25","5.88M","39.60%"
"Apr 15, 1984","26.06","26.06","27.75","23.25","360.53K","10.33%"
"Apr 08, 1984","23.62","23.62","25.50","20.44","552.20K","13.50%"
"Apr 01, 1984","20.81","20.81","22.31","18.19","361.80K","6.72%"
"Mar 25, 1984","19.50","19.50","20.06","18.94","299.07K","2.96%"
"Mar 18, 1984","18.94","18.94","21.19","17.81","188.80K","-9.81%"
"Mar 11, 1984","21.00","21.00","21.75","20.44","135.27K","0.91%"
"Mar 04, 1984","20.81","20.81","22.69","20.44","126.93K","-7.51%"
"Feb 26, 1984","22.50","22.50","23.06","21.00","94.53K","0.00%"
"Feb 19, 1984","22.50","22.50","22.50","20.81","87.93K","2.55%"
"Feb 12, 1984","21.94","21.94","23.06","21.19","89.00K","0.00%"
